tipo;sinal;limite;maximo;parcela_abater;var1;var2;adicional;var3
SOLD;max;762;0,00%;0;0;0;0;0
SOLD;max;886,57;14,50%;14,50%;2,3;1114,71;34,29;2,1
SOLD;max;932,14;21,00%;21,00%;1,3;1376,37;34,29;4,3
SOLD;max;999,14;21,00%;121,28;0;0;34,29;5,4
SOLD;max;1106,93;26,50%;176,23;0;0;34,29;7,5
SOLD;max;1600,36;28,50%;198,37;0;0;34,29;14
SOLD;max;1961,36;35,00%;302,39;0;0;34,29;17,8
SOLD;max;2529,05;37,00%;341,62;0;0;34,29;22,1
SOLD;max;3694,46;38,72%;384,99;0;0;34,29;27,4
SOLD;max;5469,9;40,05%;434,32;0;0;34,29;31,5
SOLD;max;6420,55;42,72%;580,36;0;0;34,29;33,1
SOLD;max;20064,21;44,95%;723,22;0;0;34,29;41,2
SOLD;min;20064,21;47,17%;1169,65;0;0;34,29;-1
SOLCAS2;max;762;0,00%;0;0;0;0;0
SOLCAS2;max;886,57;14,50%;14,50%;2,3;1093,31;0;6,7
SOLCAS2;max;932,14;21,00%;21,00%;1,3;1350,22;0;8,8
SOLCAS2;max;999,14;21,00%;114,14;0;0;0;9,6
SOLCAS2;max;1106,93;26,50%;169,09;0;0;0;11,2
SOLCAS2;max;1600,36;28,50%;191,23;0;0;0;16,6
SOLCAS2;max;1961,36;35,00%;295,26;0;0;0;19,9
SOLCAS2;max;2529,05;37,00%;334,48;0;0;0;23,8
SOLCAS2;max;3694,46;38,72%;377,86;0;0;0;28,5
SOLCAS2;max;5469,9;40,05%;427,18;0;0;0;32,2
SOLCAS2;max;6420,55;42,72%;573,22;0;0;0;33,8
SOLCAS2;max;20064,21;44,95%;716,08;0;0;0;41,4
SOLCAS2;min;20064,21;47,17%;1162,51;0;0;0;-1
CAS2D;max;762;0,00%;0;0;0;0;0
CAS2D;max;886,57;14,50%;14,50%;2,3;1093,3;21,43;4,3
CAS2D;max;932,14;21,00%;21,00%;1,3;1350,21;21,43;6,5
CAS2D;max;999,14;21,00%;114,14;0;0;21,43;7,4
CAS2D;max;1106,93;26,50%;169,09;0;0;21,43;9,3
CAS2D;max;1600,36;28,50%;191,23;0;0;21,43;15,2
CAS2D;max;1961,36;35,00%;295,25;0;0;21,43;18,9
CAS2D;max;2529,05;37,00%;334,48;0;0;21,43;22,9
CAS2D;max;3694,46;38,72%;377,85;0;0;21,43;27,9
CAS2D;max;5469,9;40,05%;427,18;0;0;21,43;31,8
CAS2D;max;6420,55;42,72%;573,22;0;0;21,43;33,5
CAS2D;max;20064,21;44,95%;716,08;0;0;21,43;41,3
CAS2D;min;20064,21;47,17%;1162,51;0;0;21,43;-1
CAS1;max;762;0,00%;0;0;0;0;0
CAS1;max;886,57;14,50%;14,50%;2,3;1153,28;0;4,5
CAS1;max;932,14;14,50%;14,50%;1,883;1212,39;0;6,3
CAS1;max;999,14;14,50%;76,51;0;0;0;7,1
CAS1;max;1106,93;15,93%;91,2;0;0;0;8,8
CAS1;max;1600,36;21,00%;156,03;0;0;0;11,8
CAS1;max;1961,36;24,68%;218,66;0;0;0;13,5
CAS1;max;2529,05;27,58%;275,52;0;0;0;16,7
CAS1;max;3694,46;29,80%;331,54;0;0;0;20,8
CAS1;max;5469,9;33,11%;453,94;0;0;0;25,9
CAS1;max;6420,55;38,72%;808,52;0;0;0;26,1
CAS1;max;20064,21;42,51%;1052,4;0;0;0;37,3
CAS1;min;20064,21;47,17%;1986,71;0;0;0;-1
CAS1D;max;762;0,00%;0;0;0;0;0
CAS1D;max;886,57;14,50%;14,50%;2,3;1146,84;42,86;0
CAS1D;max;932,14;14,50%;14,50%;1,883;1204,55;42,86;1,9
CAS1D;max;999,14;14,50%;74,37;0;0;42,86;2,8
CAS1D;max;1106,93;15,93%;88,64;0;0;42,86;4,1
CAS1D;max;1600,36;21,00%;144,78;0;0;42,86;9,3
CAS1D;max;1961,36;24,68%;203,73;0;0;42,86;12,1
CAS1D;max;2529,05;27,58%;260,59;0;0;42,86;15,6
CAS1D;max;3694,46;29,80%;316,61;0;0;42,86;20,1
CAS1D;max;5469,9;33,11%;439,01;0;0;42,86;24,3
CAS1D;max;6420,55;38,72%;745,55;0;0;42,86;26,4
CAS1D;max;20064,21;42,51%;989,43;0;0;42,86;37,4
CAS1D;min;20064,21;47,17%;1923,74;0;0;42,86;-1
SOLCAS2+DEF;max;1519,41;0,00%;0;0;0;0;0
SOLCAS2+DEF;max;1971,21;26,50%;402,64;0;0;0;6,1
SOLCAS2+DEF;max;2093,21;28,50%;442,07;0;0;0;7,4
SOLCAS2+DEF;max;2354,21;35,00%;578,13;0;0;0;10,4
SOLCAS2+DEF;max;4015,41;37,00%;625,21;0;0;0;21,4
SOLCAS2+DEF;max;4252,25;38,72%;694,08;0;0;0;22,4
SOLCAS2+DEF;max;6527,69;40,05%;750,84;0;0;0;28,5
SOLCAS2+DEF;max;6621,19;42,72%;925,13;0;0;0;28,7
SOLCAS2+DEF;max;20264,85;44,95%;1072,45;0;0;0;39,7
SOLCAS2+DEF;min;20264,85;47,17%;1523,35;0;0;0;-1
SOLD+DEF;max;1677,09;0,00%;0;0;0;0;0
SOLD+DEF;max;2042,64;26,50%;401,57;0;0;42,86;4,7
SOLD+DEF;max;2307,5;28,50%;442,42;0;0;42,86;7,5
SOLD+DEF;max;2425,64;35,00%;592,41;0;0;42,86;8,8
SOLD+DEF;max;3743,98;37,00%;640,92;0;0;42,86;18,7
SOLD+DEF;max;4252,25;38,72%;705,13;0;0;42,86;21,1
SOLD+DEF;max;6527,69;40,05%;761,9;0;0;42,86;27,7
SOLD+DEF;max;6621,19;42,72%;936,19;0;0;42,86;27,9
SOLD+DEF;max;20264,85;44,95%;1083,51;0;0;42,86;39,4
SOLD+DEF;min;20264,85;47,17%;1534,4;0;0;42,86;-1
CAS2D+DEF;max;1574,66;0,00%;0;0;0;0;0
CAS2D+DEF;max;2185,5;26,50%;395,86;0;0;21,43;7,4
CAS2D+DEF;max;2307,5;28,50%;439,57;0;0;21,43;8,5
CAS2D+DEF;max;2354,21;35,00%;589,55;0;0;21,43;9
CAS2D+DEF;max;3301,12;37,00%;636,64;0;0;21,43;17,1
CAS2D+DEF;max;4252,25;38,72%;693,25;0;0;21,43;21,9
CAS2D+DEF;max;6527,69;40,05%;750,02;0;0;21,43;28,2
CAS2D+DEF;max;6621,19;42,72%;924,31;0;0;21,43;28,4
CAS2D+DEF;max;20264,85;44,95%;1071,63;0;0;21,43;39,6
CAS2D+DEF;min;20264,85;47,17%;1522,52;0;0;21,43;-1
CAS1+DEF;max;1779,19;0,00%;0;0;0;0;0
CAS1+DEF;max;2664,64;21,00%;373,63;0;0;0;7
CAS1+DEF;max;2818,5;24,68%;471,79;0;0;0;7,9
CAS1+DEF;max;3051,12;27,58%;553,49;0;0;0;9,4
CAS1+DEF;max;3395,1;29,80%;621,08;0;0;0;11,5
CAS1+DEF;max;6527,69;33,11%;733,56;0;0;0;21,9
CAS1+DEF;max;6621,19;38,72%;1099,39;0;0;0;22,1
CAS1+DEF;max;20264,85;42,51%;1350,89;0;0;0;35,8
CAS1+DEF;min;20264,85;47,17%;2294,54;0;0;0;-1
CAS1D+DEF;max;1881,23;0,00%;0;0;0;0;0
CAS1D+DEF;max;2664,64;21,00%;352,2;0;0;42,86;6,2
CAS1D+DEF;max;2818,5;24,68%;450,36;0;0;42,86;7,2
CAS1D+DEF;max;3051,12;27,58%;532,06;0;0;42,86;8,7
CAS1D+DEF;max;3395,1;29,80%;599,65;0;0;42,86;10,9
CAS1D+DEF;max;6527,69;33,11%;712,13;0;0;42,86;21,5
CAS1D+DEF;max;6621,19;38,72%;1077,96;0;0;42,86;21,8
CAS1D+DEF;min;20264,85;42,51%;1329,46;0;0;42,86;35,7
CAS1D+DEF;min;20264,85;47,17%;2273,11;0;0;42,86;-1
