tipo;sinal;limite;maximo;parcela_abater;var1;var2;adicional;var3
SOLD;max;820,00;0,00%;0;0;0;0;0
SOLD;max;935,00;13,25%;13,25%;2,6;1135,39;34,29;2,2
SOLD;max;1001,00;18,00%;18,00%;1,4;1385,2;34,29;4,9
SOLD;max;1123,00;18,00%;96,82;0;0;34,29;6,3
SOLD;max;1765,00;26,00%;186,66;0;0;34,29;13,5
SOLD;max;2057,00;32,75%;305,80;0;0;34,29;16,2
SOLD;max;2664,00;37,00%;393,23;0;0;34,29;21
SOLD;max;3193,00;38,72%;439,05;0;0;34,29;23,9
SOLD;max;4173,00;40,05%;481,52;0;0;34,29;27,7
SOLD;max;5470,00;41,00%;521,17;0;0;34,29;30,8
SOLD;max;6540,00;42,70%;614,16;0;0;34,29;32,8
SOLD;max;20067,00;44,95%;761,31;0;0;34,29;41
SOLD;min;20067,00;47,17%;1206,80;0;0;34,29;-1
SOLCAS2;max;820,00;0,00%;0;0;0;0;0
SOLCAS2;max;935,00;13,25%;13,25%;2,6;1135,39;21,43;5,9
SOLCAS2;max;1001,00;18,00%;18,00%;1,4;1385,2;21,43;8,3
SOLCAS2;max;1123,00;18,00%;96,82;0;0;21,43;9,4
SOLCAS2;max;1765,00;26,00%;186,66;0;0;21,43;15,4
SOLCAS2;max;2057,00;32,75%;305,80;0;0;21,43;17,9
SOLCAS2;max;2664,00;37,00%;393,23;0;0;21,43;22,2
SOLCAS2;max;3193,00;38,72%;439,05;0;0;21,43;25
SOLCAS2;max;4173,00;40,05%;481,52;0;0;21,43;28,5
SOLCAS2;max;5470,00;41,00%;521,17;0;0;21,43;31,5
SOLCAS2;max;6540,00;42,70%;614,16;0;0;21,43;33,3
SOLCAS2;max;20067,00;44,95%;761,31;0;0;21,43;41,2
SOLCAS2;min;20067,00;47,17%;1206,80;0;0;21,43;-1
CAS1;max;857,00;0,00%;0;0;0;0;0
CAS1;max;935,00;13,25%;13,25%;2,6;1186,62;42,86;4
CAS1;max;1001,00;13,25%;13,25%;1,4;1402,3;42,86;5,8
CAS1;max;1393,00;13,25%;74,44;0;0;42,86;7,9
CAS1;max;1900,00;18,50%;147,57;0;0;42,86;10,7
CAS1;max;2801,00;26,00%;290,07;0;0;42,86;15,6
CAS1;max;3423,00;28,00%;346,09;0;0;42,86;17,9
CAS1;max;4099,00;29,15%;385,46;0;0;42,86;19,7
CAS1;max;5800,00;32,50%;522,78;0;0;42,86;23,5
CAS1;max;6422,00;36,00%;725,78;0;0;42,86;24,7
CAS1;max;20064,21;42,50%;1143,21;0;0;42,86;36,8
CAS1;min;20064,21;47,17%;2080,2;0;0;42,86;-1
SOLCAS2+DEF;max;1519,41;0,00%;0;0;0;0;0
SOLCAS2+DEF;max;1648,29;13,25%;201,32;0;0;0;1,0
SOLCAS2+DEF;max;1994,61;23,00%;362,03;0;0;0;4,8
SOLCAS2+DEF;max;2410,71;32,75%;556,51;0;0;0;9,7
SOLCAS2+DEF;max;4373,75;37,00%;658,97;0;0;0;21,9
SOLCAS2+DEF;max;6621,18;40,05%;792,37;0;0;0;28,1
SOLCAS2+DEF;max;6717,41;42,28%;940,03;0;0;0;28,3
SOLCAS2+DEF;max;20264,85;44,95%;1119,39;0;0;0;39,4
SOLCAS2+DEF;min;20264,85;47,17%;1569,27;0;0;0;-1
SOLD+DEF;max;1677,09;0,00%;0;0;0;0;0
SOLD+DEF;max;1994,61;23,00%;385,73;0;0;42,86;1,5
SOLD+DEF;max;2410,71;32,75%;580,21;0;0;42,86;6,9
SOLD+DEF;max;4373,75;37,00%;682,67;0;0;42,86;20,4
SOLD+DEF;max;6621,18;40,05%;816,07;0;0;42,86;27,1
SOLD+DEF;max;6717,41;42,28%;963,73;0;0;42,86;27,3
SOLD+DEF;max;20264,85;44,95%;1143,09;0;0;42,86;39,1
SOLD+DEF;min;20264,85;47,17%;1592,97;0;0;42,86;-1
CAS2D+DEF;max;1574,66;0,00%;0;0;0;0;0
CAS2D+DEF;max;1648,29;13,25%;208,64;0;0;21,43;0
CAS2D+DEF;max;1994,61;23,00%;369,35;0;0;21,43;2,4
CAS2D+DEF;max;2410,71;32,75%;563,83;0;0;21,43;8,5
CAS2D+DEF;max;4373,75;37,00%;666,29;0;0;21,43;21,3
CAS2D+DEF;max;6621,18;40,05%;799,69;0;0;21,43;27,6
CAS2D+DEF;max;6717,41;42,28%;947,35;0;0;21,43;27,9
CAS2D+DEF;max;20264,85;44,95%;1126,71;0;0;21,43;39,3
CAS2D+DEF;min;20264,85;47,17%;1576,59;0;0;21,43;-1
CAS1+DEF;max;2105,51;0,00%;0;0;0;0;0
CAS1+DEF;max;3622,95;31,60%;719,35;0;0;42,86;11,7
CAS1+DEF;max;6587,01;33,00%;770,07;0;0;42,86;21,3
CAS1+DEF;max;20264,85;42,50%;1395,84;0;0;42,86;35,6
CAS1+DEF;min;20264,85;47,17%;2342,21;0;0;42,86;-1
